id,bank_name,country,domain,port,ip,reachable,tls_version,cipher_suite,key_exchange_group,key_exchange_class,pqc_status,pqc_key_exchange,pqc_signature,is_hybrid,pqc_confidence,certificate_subject,certificate_issuer,certificate_signature_algorithm,certificate_public_key_algorithm,certificate_public_key_size,certificate_not_after,certificate_days_remaining,certificate_expired,certificate_self_signed,certificate_sha256,hsts,risk_score,risk_grade,findings,recommendation,scan_timestamp
31,AU Small Finance Bank,IN,au.bank.in,443,104.18.6.127,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,au.bank.in,WE1,sha256WithRSAEncryption (estimated),RSA,2048,Nov 19 09:41:16 2026 GMT,89,False,False,fda4c061cb162977f9008ffb5a542c60712ae9724c101010512f01ba96fedf43,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:32Z
32,Equitas Small Finance Bank,IN,equitasbank.com,443,159.60.128.94,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,equitasbank.com,GlobalSign GCC R3 EV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Dec 29 10:36:08 2026 GMT,129,False,False,bba38f686f2bbf44b9886336859bc729687b884408e6ca8f5be2fe9a0b7c8fea,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:34Z
33,Ujjivan Small Finance Bank,IN,ujjivansfb.in,443,103.112.231.14,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.ujjivansfb.bank.in,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption (estimated),RSA,2048,Sep 22 23:59:59 2026 GMT,31,False,False,678aae46b93b350e34789cd95b5b484eef3a81fd001599f6de71454d369e7505,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:36Z
34,ESAF Small Finance Bank,IN,esaf.bank.in,443,13.224.163.46,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,esafbank.com,Amazon RSA 2048 M04,sha256WithRSAEncryption (estimated),RSA,2048,Feb 25 23:59:59 2027 GMT,187,False,False,bae4ef0935b7a5d4c6039af7a585ea02ea6fffbc8bae1e2aaa2f5b9723787b2c,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:37Z
35,Jupiter,IN,jupiter.money,443,99.86.18.63,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,jupiter.money,Amazon RSA 2048 M04,sha256WithRSAEncryption (estimated),RSA,2048,Nov  4 23:59:59 2026 GMT,74,False,False,7ba923e14a8c0b6dbe6f15a4a05c50216241c7ec86f35fdb5c1e7c018a1e9367,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:39Z
36,JPMorgan Chase,US,chase.com,443,146.143.13.57,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.chase.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Sep 11 23:59:59 2026 GMT,20,False,False,9baaf83e551a5e5183a41f8121fdc03e0d7d3ab2215169d9fa70ad787496dfb9,False,87,A,🟡 MEDIUM — Certificate expires in 20 days; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:43Z
37,Bank of America,US,bankofamerica.com,443,3.173.23.90,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,bankofamerica.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Sep 15 23:59:59 2026 GMT,24,False,False,02c1adcf68f46b56f104b9fe00a9a3ed31d31a08497be439b0c1b15480838ac8,True,86,A,🟡 MEDIUM — Certificate expires in 24 days; 🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:45Z
38,Wells Fargo,US,wellsfargo.com,443,96.17.182.104,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,wellsfargo.com,Wells Fargo Public Trust Certification Authority 01 G2,sha256WithRSAEncryption (estimated),RSA,2048,Dec 23 23:59:59 2026 GMT,123,False,False,29fcfb1e17eec4ebfc7e3c7fc665ecee38b2c4b563982d621c0dadd8a5d04172,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:47Z
39,Citigroup,US,citi.com,443,104.94.222.171,True,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.citi.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Oct  8 23:59:59 2026 GMT,47,False,False,26da43d7ad4d4dd53ba8830f0443d45bc65d9cd58929324571e973254cd4fe82,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:51Z
40,U.S. Bank,US,usbank.com,443,170.135.184.254,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,supplierpreferpay.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Mar  4 23:59:59 2027 GMT,194,False,False,1a3c4014be5ffc1b9e589dc5ddcaf09243dd95f70dfc85f4ca0554f0d29ac48c,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:55Z
41,PNC Bank,US,pnc.com,443,104.69.172.63,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.pnc.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Feb 13 23:59:59 2027 GMT,175,False,False,794ee8dad3da0c73bf1ccd8958f10d5ad4a8a7eebdfb8e3b14d5579a6556c4a6,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:07Z
42,Capital One,US,capitalone.com,443,184.31.10.229,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,capitalone.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Dec 24 23:59:59 2026 GMT,124,False,False,1d52209a03ee1e9dbdf2b28a3b8411e1384e7c8dbe658d76fd34dfd71ab7ba9e,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:10Z
43,Truist,US,truist.com,443,96.17.182.72,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,w3.truist.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Jan 31 23:59:59 2027 GMT,162,False,False,fd82366f65a46db3d77aca158dde2434ebc246a19de9850937aef8421a3fa6b0,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:12Z
44,Fifth Third Bank,US,fifththird.com,443,216.82.178.21,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.mbfinancial.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Dec 19 23:59:59 2026 GMT,119,False,False,6040cb380a90fbcf1cc6f64875d43e5cf5322536c728784c5ae34941afd78b3e,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:35:15Z
45,Regions Bank,US,regions.com,443,45.60.241.200,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.regions.com,Sectigo Public Server Authentication CA EV R36,sha256WithRSAEncryption (estimated),RSA,2048,Oct  3 23:59:59 2026 GMT,42,False,False,c2369e7baebf498a38a8080b9c920affd34e6e5b7c5ab31c9b37c1877228082b,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:19Z
46,KeyBank,US,key.com,443,23.212.5.80,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,key.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Feb 18 23:59:59 2027 GMT,180,False,False,fa6075bfb06e9c16098d17042946897eb45f05dd0296636b71a9e46b47fec8b7,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:31Z
47,Citizens Bank,US,citizensbank.com,443,23.58.2.238,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.citizensbank.com,Sectigo Public Server Authentication CA EV R40,sha256WithRSAEncryption (estimated),RSA,2048,Oct 29 23:59:59 2026 GMT,68,False,False,5eb462db1d2e1d03e88f4cb0d22eb5eed1c98c802eccc11ec47acd4160b17039,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:32Z
48,Huntington Bank,US,huntington.com,443,23.212.5.56,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,huntington.com,Sectigo Public Server Authentication CA EV R36,sha256WithRSAEncryption (estimated),RSA,2048,Mar  5 23:59:59 2027 GMT,195,False,False,efbda4fe531240ca620c4733b09f8a7e095149485c98db9f3d6e301ab64cd195,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:36Z
49,TD Bank,CA,td.com,443,23.212.5.57,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,td.com,DigiCert G5 TLS RSA4096 SHA384 2021 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Nov 14 23:59:59 2026 GMT,84,False,False,d551ffc764b35b3ce19650a9cd973adc7515ea53f7e29027b46da60f86332867,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:37Z
50,Royal Bank of Canada,CA,rbcroyalbank.com,443,118.214.131.145,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,rbcroyalbank.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Mar  2 23:59:59 2027 GMT,192,False,False,ad3b51e48d2e2880d90b52073994f493e47a6059f4299c4d8489c168459aaffe,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:39Z
51,Bank of Montreal,CA,bmo.com,443,23.58.54.94,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,bmo.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Feb 13 23:59:59 2027 GMT,175,False,False,3be7901a11c3fada64c38281280457ea570e9fc32651db769f3759f0779dd494,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:41Z
52,CIBC,CA,cibc.com,443,23.212.5.48,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,webforwarder.cibc.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Jan  6 23:59:59 2027 GMT,137,False,False,567be7a5a1ee99c55d0e4346299f5c12d049b06a941246a2e694e28ff106e71d,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:43Z
53,Scotiabank,CA,scotiabank.com,443,23.57.252.27,True,TLSv1.3,TLS_CHACHA20_POLY1305_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.scotiabank.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Jan 29 23:59:59 2027 GMT,160,False,False,cfc8c3dfdaac3f4e0ce72d2a1569e8fda215255abb7221b364284d7d467c9182,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:35:45Z
54,HSBC,GB,hsbc.com,443,91.214.6.62,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,hsbc.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Feb  8 23:59:59 2027 GMT,170,False,False,a7319fe8fe855a21c863e09c5cb26331709fc4c4de513c65052f9d5a4d8f40b4,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:17Z
55,Barclays,GB,barclays.co.uk,443,104.108.245.240,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.barclays.co.uk,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Nov  4 23:59:59 2026 GMT,74,False,False,3c5c61b47c5f508ff0c9e7e5df0741935b658a061ecf66b296d3315c6c24a60b,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:19Z
56,Lloyds Bank,GB,lloydsbank.com,443,34.149.7.15,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,dcsrd-prod-01.lloydsbanking.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Feb  7 23:59:59 2027 GMT,169,False,False,bcbae5f941c9e7dfd0d899848d5a708653c6a9f266d59194ba63ef5e1d76bc19,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:20Z
57,NatWest,GB,natwest.com,443,13.107.246.68,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,natwest.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Feb 17 23:59:59 2027 GMT,179,False,False,3e5b77c656226aa32bdfdffe17ff40224629aff1e1a3cccee4b098b3d38c6334,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:22Z
58,Santander,ES,santander.com,443,45.223.176.248,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,imperva.com,GlobalSign Atlas R46 DV TLS CA 2026 Q3,sha256WithRSAEncryption (estimated),RSA,2048,Nov 10 18:30:52 2026 GMT,80,False,False,466c240fb915a681d59d56f3e8bed2acb037433738db2548f115fc36552087ea,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:25Z
59,Deutsche Bank,DE,deutsche-bank.de,443,160.83.8.144,True,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.deutsche-bank.de,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Feb  1 23:59:59 2027 GMT,163,False,False,c8356f7861e93fc833c6d210e8655bd6f8ea096ff05c617f3cfdde400ff47c2f,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:30Z
60,Commerzbank,DE,commerzbank.de,443,212.149.50.208,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.commerzbank.de,GlobalSign Extended Validation CA - SHA256 - G3,sha256WithRSAEncryption (estimated),RSA,2048,Sep 13 11:16:01 2026 GMT,22,False,False,23d50fc523e9cc9879afa8599344d4f9ecee9240d7193748758d72b71571cb9e,False,87,A,🟡 MEDIUM — Certificate expires in 22 days; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:33Z
61,ING,NL,ing.com,443,96.17.182.34,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,ing.com,HydrantID Server CA O1,sha256WithRSAEncryption (estimated),RSA,2048,Nov  3 04:59:14 2026 GMT,73,False,False,6d68c8e7312b5f658cf13412ad814558170f32e6fa2ace7db2ec9660c2a21d27,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:36Z
62,BBVA,ES,bbva.com,443,23.57.254.123,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,live.global.platform.bbva.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Oct  2 23:59:59 2026 GMT,41,False,False,1a8ba8db3d28e61db394999aea7091ff7192d2007cc6ed1de3913037614660c3,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:37Z
63,BNP Paribas,FR,bnpparibas.com,443,23.57.197.202,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,group.bnpparibas,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Oct  5 23:59:59 2026 GMT,44,False,False,b487bcda8f837bddef37f949d15eef481653879dac80c44a8620d9a623bd148e,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:39Z
64,Credit Agricole,FR,credit-agricole.com,443,158.191.171.18,True,TLSv1.3,TLS_CHACHA20_POLY1305_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.credit-agricole.com,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Feb 23 23:59:59 2027 GMT,185,False,False,db916903b7af789b6e1a15d9a24d849cfc7cae53faa9f713a9e427be864dcdf7,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:41Z
65,Societe Generale,FR,societegenerale.com,443,149.126.74.215,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,societegenerale.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Dec  1 23:59:59 2026 GMT,101,False,False,195401bc70f014960be5a332fe551e58e8467bcd1b40085a0e8a5ffd1a592eba,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:44Z
66,UBS,CH,ubs.com,443,193.134.111.71,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,ptr.ubs.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Sep 13 23:59:59 2026 GMT,22,False,False,ed4ad14d4c3d2cda41c70fe01b3281fd646896ca1321ba835337b708ce093509,True,92,A+,🟡 MEDIUM — Certificate expires in 22 days; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:47Z
