id,bank_name,country,domain,port,ip,reachable,tls_version,cipher_suite,key_exchange_group,key_exchange_class,pqc_status,pqc_key_exchange,pqc_signature,is_hybrid,pqc_confidence,certificate_subject,certificate_issuer,certificate_signature_algorithm,certificate_public_key_algorithm,certificate_public_key_size,certificate_not_after,certificate_days_remaining,certificate_expired,certificate_self_signed,certificate_sha256,hsts,risk_score,risk_grade,findings,recommendation,scan_timestamp
11,Union Bank of India,IN,unionbankofindia.co.in,443,115.124.113.174,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.unionbankofindia.co.in,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Feb  6 07:20:21 2027 GMT,168,False,False,0453657ce1c77b658a0ccc706404742679c871e2ba9c3c2f229e3b81ae25f88d,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:33:57Z
12,Bank of India,IN,bankofindia.co.in,443,162.159.142.14,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,bankofindia.bank.in,Entrust OV TLS Issuing RSA CA 2,sha256WithRSAEncryption (estimated),RSA,2048,Sep  2 23:59:59 2026 GMT,11,False,False,03eaec9a43b87fe225dd9199aa8cb4d8a98d2f8dacd34c665b5bcbfef99924f2,True,82,A,🔴 HIGH — Certificate expires in 11 days; 🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:33:59Z
13,Indian Bank,IN,indianbank.in,443,103.183.72.10,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,indianbank.bank.in,GeoTrust EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Sep 17 23:59:59 2026 GMT,26,False,False,9212debcf43820373364ce5a7ad695917bae404eeca57bfa3ce38da9e2fed314,True,92,A+,🟡 MEDIUM — Certificate expires in 26 days; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:01Z
14,Bank of Maharashtra,IN,bankofmaharashtra.bank.in,443,103.91.48.171,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.bankofmaharashtra.bank.in,Sectigo Public Server Authentication CA OV R36,sha256WithRSAEncryption (estimated),RSA,2048,Oct 28 23:59:59 2026 GMT,67,False,False,fe8d153beb1b2d8f3476bfffc2d48f45622e455ae459baaf649fa28602746124,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:02Z
15,UCO Bank,IN,uco.bank.in,443,103.107.26.73,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.uco.bank.in,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Oct 10 07:36:10 2026 GMT,49,False,False,d9192e72c269011fa6fb5627559d3c8dfcc8f30ed97ed52356321b31bcf04f13,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:04Z
16,Indian Overseas Bank,IN,iob.in,443,15.197.225.128,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,iob.in,GoDaddy TLS Intermediate CA DV - R1v1,sha256WithRSAEncryption (estimated),RSA,2048,Nov 21 13:00:40 2026 GMT,91,False,False,145832f30c22dd6f435841f047764ab0e34a664c5d3186d9047ebe1286227aec,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:06Z
17,Central Bank of India,IN,centralbankofindia.co.in,443,49.50.92.34,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.centralbankofindia.co.in,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Oct 29 07:10:33 2026 GMT,68,False,False,63f303178b2dfa730a381cedf8b32b221d5e9df1d74b9ae9546c095bdaac575d,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:07Z
18,IDBI Bank,IN,idbibank.in,443,103.8.125.18,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,idbi.bank.in,GlobalSign Extended Validation CA - SHA256 - G3,sha256WithRSAEncryption (estimated),RSA,2048,Sep  9 08:26:12 2026 GMT,18,False,False,68ea01b56964a944cb07097fae0ac1e1968e2804dd2d3805b5d468ade67796a8,True,92,A+,🟡 MEDIUM — Certificate expires in 18 days; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:09Z
19,IDFC FIRST Bank,IN,idfcfirstbank.com,443,23.55.106.114,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.idfcbank.com,Sectigo Public Server Authentication CA EV E36,sha256WithRSAEncryption (estimated),RSA,2048,Sep 11 23:59:59 2026 GMT,20,False,False,9ff03416d73d9fc8a00b429e56288ad5e4188d8200157f5e6071cc775290e832,True,86,A,🟡 MEDIUM — Certificate expires in 20 days; 🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:10Z
20,Federal Bank,IN,federalbank.co.in,443,144.249.134.97,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,federal.bank.in,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption (estimated),RSA,2048,Oct 29 23:59:59 2026 GMT,68,False,False,8ee992591bf805c57ce2dea017879f8a046d889421ae82159c7137f20039811f,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:12Z
